time,dt,e_yy,gr0_area,grain_tracker,run_time,slip_increment,stress_yy,vonmises_stress
0.88832260382048,0.0038392473445322,0.0027828393168875,70809.034807221,2,1277.211125564,0.00026246170533569,198.77960696576,176.77288987869
0.89292970063392,0.0046070968134386,0.0027973380524891,70808.971991158,2,1294.239306675,0.00026303623293411,198.86771909731,176.86687347678
0.89845821681005,0.0055285161761263,0.0028147377028865,70808.896508282,2,1311.833675079,0.00026375417513656,198.97127268116,176.97777713382
0.9050924362214,0.0066342194113516,0.0028356190352287,70808.805772056,2,1330.263205464,0.00026458986649255,199.09115522164,177.10640521041
0.91305349951502,0.0079610632936219,0.002860679087624,70808.696659818,2,1348.26118923,0.00026563679086056,199.23021725843,177.25602278044
0.92260677546736,0.0095532759523462,0.0028907546701976,70808.565394783,2,1367.386709231,0.00026691413074088,199.39029661584,177.42940626895
0.93407070661018,0.011463931142815,0.0029268504896352,70808.407401243,2,1387.490339696,0.00026838738815237,199.57250252647,177.6269368807
0.94782742398156,0.013756717371379,0.0029701726858359,70808.217125388,2,1407.772117288,0.00027004117789041,199.77485618711,177.84638645366
0.96433548482721,0.016508060845654,0.0030221696620844,70807.987812186,2,1429.034998158,0.00027207878979849,200.00277688585,178.09459428233
0.97424032133461,0.0099048365073926,0.0030533727592239,70807.855439689,2,1493.237325468,0.00027351803787482,200.14493965779,178.24653213658
0.984145157842,0.0099048365073926,0.003084579930941,70807.718877959,2,1513.414984509,0.00027488436469129,200.28074023183,178.39391255135
0.99603096165087,0.011885803808871,0.0031220338756148,70807.553022149,2,1534.047177022,0.0002764874186117,200.43439545748,178.56179393502
1.0102939262215,0.014262964570645,0.0031669862766894,70807.35264363,2,1556.016750074,0.00027834796922595,200.60697121488,178.75023354224
1.0274094837063,0.017115557484774,0.0032209401775681,70807.110880414,2,1578.101953503,0.00028061425223198,200.80306755442,178.96422530949
1.047948152688,0.020538668981729,0.0032857005692927,70806.819152268,2,1601.222903712,0.00028319783619329,201.02044200618,179.2024298999
1.0602713540771,0.012323201389038,0.0033245641801936,70806.65059093,2,1672.034294366,0.00028439854945429,201.1494678243,179.34152107922
1.0725945554661,0.012323201389038,0.003363433739116,70806.476600524,2,1693.602492008,0.00028585343732069,201.27434533868,179.47619427556
1.0873823971329,0.014787841666845,0.003410085333318,70806.265210901,2,1716.087662528,0.00028750668821284,201.41405101463,179.62692906769
1.096255102133,0.008872705000107,0.0034380800788932,70806.142767648,2,1780.719435409,0.0002884596882515,201.50123407404,179.71871042553
1.1051278071332,0.008872705000107,0.0034660779190916,70806.016408208,2,1801.353566847,0.00028943950720822,201.58453038364,179.80788830872
1.1157750531333,0.010647246000128,0.0034996795101836,70805.863177381,2,1822.555939977,0.00029073881548983,201.68329774226,179.9137517433
1.1221634007334,0.0063883476000771,0.0035198424760224,70805.774447524,2,1882.972891741,0.00029140900041448,201.74405198467,179.97831211244
1.1285517483334,0.0063883476000771,0.0035400070456256,70805.683206576,2,1902.755313045,0.00029211468052935,201.80260294356,180.04014497064
1.1362177654535,0.0076660171200925,0.0035642066507031,70805.572142609,2,1923.370538088,0.00029312186489695,201.87222741144,180.1143647725
1.1454169859976,0.009199220544111,0.0035932494158467,70805.4384018,2,1944.568089398,0.00029416148984892,201.95208106696,180.19861073128
1.1564560506506,0.011039064652933,0.0036281051830186,70805.277515655,2,1965.600628665,0.00029536567633665,202.04429234883,180.29718334179
1.1697029282341,0.01324687758352,0.0036699384817586,70805.083506387,2,1986.551001324,0.00029661812668712,202.14642474099,180.40622613182
1.1855991813343,0.015896253100224,0.0037201474783153,70804.850004439,2,2008.237900106,0.00029797507489419,202.25939504369,180.52630333205
1.2046746850546,0.019075503720269,0.0037804112458379,70804.568321844,2,2035.545142642,0.00029967329055302,202.39199140098,180.66859174224
1.2103973361707,0.0057226511160806,0.0037984927210365,70804.469483644,2,2148.443186693,0.00029996932876954,202.4385867674,180.71369567829
1.2161199872867,0.0057226511160806,0.0038165753267865,70804.380497877,2,2168.589194656,0.00030060100857848,202.48483038236,180.76247440072
1.222987168626,0.0068671813392967,0.003838276251099,70804.276277403,2,2190.069691604,0.00030124543183172,202.53599767786,180.81518681192
1.2312277862332,0.008240617607156,0.0038643197153776,70804.152779909,2,2211.120402837,0.00030189660922602,202.59335898385,180.87504339706
1.2411165273618,0.0098887411285872,0.0038955753867686,70804.005475706,2,2233.419068667,0.00030268895149152,202.65928558526,180.9434405337
1.2529830167161,0.011866489354305,0.0039330871458127,70803.827773176,2,2255.543752843,0.00030373649731674,202.73958262305,181.02742917094
